area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
6719,0.9853760004043579,"[67.5, 185.625]",6.0755,0,0.0,255.0,0.0,50.48721304215303,182.02900312076522,1.114326197543924,67,138,True,23,93,91,94
5275,0.9829415082931519,"[67.5, 286.875]",6.0755,1,255.0,0.0,255.0,44.6347976239088,142.90861608305352,1.1093762457568137,49,313,True,9,273,84,80
3754,0.9668432474136353,"[67.5, 388.125]",6.0755,2,0.0,127.5,255.0,37.87468453119168,101.70216962574084,1.1224266415823427,73,387,True,38,354,72,70
5244,0.9696038961410522,"[67.5, 860.625]",6.0755,3,255.0,127.5,0.0,44.63479756504486,142.06877397905834,1.1159343403760824,69,847,True,29,805,80,84
4692,0.9734373092651367,"[67.5, 928.125]",6.0755,4,127.5,191.25,127.5,41.96133218020748,127.11416619178902,1.1022870829695226,65,954,True,26,916,76,79
5190,0.9801721572875977,"[112.5, 84.375]",6.0755,5,85.96401948821622,16.35230193058395,159.95357617353199,44.30560674817265,140.60582321726025,1.1109747932068859,113,58,True,72,18,81,82
5298,0.9840258955955505,"[112.5, 286.875]",6.0755,6,194.6747345410395,2.977941229109919,11.75972271131351,44.57831743783631,143.53172474085642,1.101766535865441,111,249,True,69,209,84,81
4845,0.9798566699028015,"[112.5, 320.625]",6.0755,7,50.89965917621353,251.998521449097,251.91506857610662,42.36354616755527,131.25919335021692,1.0880403932623424,147,327,True,110,288,76,77
4266,0.9754350781440735,"[112.5, 590.625]",6.0755,8,255.0,255.0,0.0,40.17902160316777,115.5731101820486,1.1115577970600952,106,621,True,68,585,76,73
5862,0.9790915250778198,"[112.5, 691.875]",6.0755,9,193.73927485886745,126.72583432307229,254.55791651428333,47.2517831169934,158.81143269741418,1.118780211348792,81,702,True,37,661,88,86
4101,0.9840080142021179,"[157.5, 84.375]",6.0755,10,6.435901129747877,118.76223735710191,56.91376798804655,39.12811618353171,111.10298285433223,1.0965849870874251,190,77,True,156,41,68,74
5295,0.9822839498519897,"[157.5, 185.625]",6.0755,11,231.61699503490152,65.75678744997641,133.07375616202677,45.06040647602623,143.4504496985343,1.1263631456726328,153,171,True,112,130,81,84
2942,0.9358442425727844,"[157.5, 421.875]",6.0755,12,0.0,255.0,127.5,35.15442906363139,79.70372483722151,1.2338762817431572,131,415,False,92,387,71,56
4508,0.9808155298233032,"[157.5, 489.375]",6.0755,13,0.0,0.0,255.0,41.43245309853729,122.12929692936592,1.1185401399852888,129,491,True,91,457,77,72
4040,0.9772697687149048,"[157.5, 590.625]",6.0755,14,250.77944982771086,174.24250565164067,134.96810702098043,39.2079911951312,109.45039032711587,1.1176916468748317,159,564,True,122,529,72,72
4507,0.9746307730674744,"[157.5, 826.875]",6.0755,15,127.5,127.5,0.0,41.41591070277359,122.10220524859189,1.1178951178779952,143,810,True,105,774,77,74
4944,0.9762898087501526,"[157.5, 860.625]",6.0755,16,131.29325768217274,239.8479490596944,19.18437467914835,43.238158540346625,133.94126974684676,1.110734095977346,149,890,True,109,853,82,75
4593,0.9806666374206543,"[157.5, 995.625]",6.0755,17,109.37345174819798,107.01160999581613,170.79965657909514,41.26301263842639,124.4320897951592,1.0888789615001429,144,970,True,105,936,79,73
4457,0.9865449666976929,"[202.5, 151.875]",6.0755,18,101.52387797878033,53.18553631672003,60.77045975194213,40.797466251077246,120.74762120988996,1.0969275292084923,233,146,True,196,109,75,75
4843,0.9848916530609131,"[202.5, 286.875]",6.0755,19,127.5,0.0,255.0,42.73267450003789,131.20500998866885,1.1075411390630836,231,302,True,193,265,79,76
4464,0.9760549068450928,"[202.5, 658.125]",6.0755,20,23.484836965808842,179.84077335121216,175.37860933296514,41.05363407406569,120.93726297530823,1.1090042599857444,184,642,True,145,604,80,74
6402,0.9790894985198975,"[202.5, 725.625]",6.0755,21,155.29898444923091,212.947959924419,248.17834699052386,49.941791329263374,173.440940315395,1.144370748038666,167,729,True,120,685,93,88
5516,0.9823429584503174,"[202.5, 826.875]",6.0755,22,212.48950641027707,252.083512177836,124.41058278846981,45.60582803194537,149.43771114959682,1.1075685608650727,222,839,True,180,796,83,86
4965,0.9807490706443787,"[202.5, 961.875]",6.0755,23,3.9006657645059386,87.43115163016348,169.582453633669,43.06186551312323,134.51019504310156,1.097035329603308,224,929,True,184,891,79,77
865,0.9089677929878235,"[202.5, 995.625]",6.0755,24,11.632822197664456,15.575590046269506,94.28339456497824,18.953884945868584,23.434303869543374,1.2199290100120208,201,983,False,186,966,32,37
4101,0.9831433296203613,"[247.5, 84.375]",6.0755,25,55.00402660249522,198.61979705665743,53.182510435957404,38.99176088775316,111.10298285433223,1.0889554536962982,270,77,True,235,41,69,72
4860,0.9778677821159363,"[247.5, 354.375]",6.0755,26,71.69941212970905,66.0729446436618,251.91626667106502,42.7326745196592,131.6655685618275,1.1036670249811238,228,389,True,191,351,77,78
4842,0.9796345233917236,"[247.5, 489.375]",6.0755,27,178.6772258423642,139.2021606074205,86.36114448815185,42.67619415699489,131.17791830789483,1.104843502256186,211,499,True,172,461,77,79
4436,0.9814966917037964,"[247.5, 556.875]",6.0755,28,176.60401123520393,58.74773204987026,214.71301340483893,40.86079823903101,120.17869591363515,1.1055447894449792,238,581,True,200,543,77,77
5436,0.9844262599945068,"[247.5, 658.125]",6.0755,29,248.52548162327437,53.84832044680907,37.09092686681885,45.52595298110325,147.27037668767372,1.11993503096522,250,699,True,210,656,81,86
4952,0.9773293733596802,"[247.5, 995.625]",6.0755,30,179.18838446000572,0.06329393937943628,110.10767154234867,43.590744280852405,134.15800319303906,1.1270991417118559,253,1006,True,213,967,82,80
5171,0.9831074476242065,"[292.5, 219.375]",6.0755,31,208.40487697239368,199.96187304697818,7.657116788243079,44.05629072706549,140.09108128255352,1.1025429266451283,263,222,True,222,182,83,81
4745,0.9805598258972168,"[292.5, 320.625]",6.0755,32,93.23921094042554,160.15413080059585,233.49950500052464,42.48335871438648,128.55002527281306,1.117263622787232,304,347,True,264,309,81,75
4793,0.9796414375305176,"[292.5, 556.875]",6.0755,33,120.45508908947983,248.0816531258695,175.88479293847914,42.71613192768237,129.85042594996693,1.11822860008719,293,519,True,253,483,79,78
3975,0.9739640951156616,"[292.5, 658.125]",6.0755,34,60.80314636792785,146.50442322675306,112.99113790389073,38.50967161410748,107.68943107680336,1.095864059662708,298,630,True,263,594,69,72
4172,0.9787807464599609,"[292.5, 759.375]",6.0755,35,42.948721514561406,60.30812789657372,2.143950986167806,39.56057713185011,113.02649218928896,1.1018820898334358,277,777,True,240,740,73,75
5599,0.9853923320770264,"[337.5, 50.625]",6.0755,36,252.19719961524132,76.51951894009414,223.51626340651072,45.81520626274374,151.68632065384202,1.1011919074214938,354,85,True,314,42,81,86
4654,0.9793200492858887,"[337.5, 151.875]",6.0755,37,204.56721506571608,122.33185877046934,167.10285265528992,41.921394448762626,126.08468232237556,1.109172894927397,333,173,True,296,134,75,79
4375,0.9793756008148193,"[337.5, 286.875]",6.0755,38,238.0912297848381,181.49438178808225,235.45964739347676,40.93382154685579,118.5261033864188,1.1249694086781374,332,271,True,294,233,75,76
5844,0.9832891225814819,"[337.5, 421.875]",6.0755,39,255.0,0.0,127.5,46.80277945897028,158.32378244348146,1.1009998742335063,305,435,True,260,394,89,81
4386,0.9808576703071594,"[337.5, 590.625]",6.0755,40,78.55331313422454,238.34109957354713,111.8933500320679,40.87734092911441,118.82411187493322,1.1190534575689177,354,568,True,317,529,73,79
4273,0.9826948642730713,"[337.5, 691.875]",6.0755,41,180.7361459690071,77.92009890202341,26.173368129872262,40.31537705591683,115.76275194746687,1.1172818543296572,330,715,True,293,678,75,75
5039,0.976265549659729,"[337.5, 860.625]",6.0755,42,2.099569845423097,174.95310933664567,0.4692237184326392,43.72709973360146,136.51497942038043,1.1145798160435556,304,865,True,261,826,84,79
5321,0.9765441417694092,"[337.5, 961.875]",6.0755,43,3.394150902845409,26.52550475803514,189.32149853837015,44.884113586152026,144.1548333986593,1.112106125734976,342,944,True,302,903,82,81
5419,0.9842541217803955,"[382.5, 354.375]",6.0755,44,104.39889603580805,14.601116998893794,2.112544639464993,45.23669940514306,146.80981811451508,1.1092178646073352,381,388,True,339,347,83,84
5538,0.9813309907913208,"[382.5, 523.125]",6.0755,45,200.99910953047257,3.7335038060047596,188.19508814286638,45.429535122449856,150.03372812662568,1.0946563997103005,391,489,True,349,448,84,83
4866,0.9830648899078369,"[382.5, 624.375]",6.0755,46,2.488180955376962,195.67748441075187,250.28271799261844,42.75606944329277,131.82811864647175,1.1035134460964653,377,648,True,336,610,80,78
5835,0.9840044975280762,"[382.5, 826.875]",6.0755,47,151.04953286452093,85.90188662345629,111.86564109114609,47.42807592838235,158.07995731651513,1.1323595285370838,358,793,True,315,750,88,88
4346,0.980563759803772,"[382.5, 894.375]",6.0755,48,49.58926468120632,78.16093512732935,112.24790900508397,40.395252361836015,117.74044464397167,1.1028720122254008,387,873,True,349,836,76,76
