area,predicted_iou,point_coords,index,scale (um/px),perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
6859,1.006577491760254,"[22.5, 151.875]",0,6.0755,50.816403957131804,185.82183842913062,1.1058627795358595,67,138,True,21,92,93,93
5574,1.000748872756958,"[292.5, 253.125]",1,6.0755,45.83860120599863,151.00902863449105,1.1072608249450349,263,222,True,221,181,87,83
6878,0.9997314810752869,"[1057.5, 118.125]",3,6.0755,51.08911462717415,186.33658036383736,1.1146763010653142,1036,160,True,989,113,93,95
6374,0.9990587830543518,"[517.5, 151.875]",6,6.0755,48.89773830014799,172.68237325372192,1.1018428834314542,497,140,True,454,95,87,92
5279,0.9988123178482056,"[1192.5, 759.375]",7,6.0755,44.5783175555642,143.01698280614968,1.1057319829221588,1174,719,True,1132,680,84,81
6084,0.9982103109359741,"[1192.5, 421.875]",9,6.0755,47.87707958640547,164.82578582925072,1.106675470136984,1177,385,True,1132,341,90,90
5904,0.998086154460907,"[1327.5, 421.875]",10,6.0755,47.03555269188748,159.94928328992378,1.1006781386076467,1285,411,True,1242,369,86,85
6522,0.9980778098106384,"[1147.5, 590.625]",11,6.0755,49.363284667875824,176.69194200827963,1.0974417862851507,1134,544,True,1089,500,89,92
5660,0.9976561069488525,"[742.5, 219.375]",12,6.0755,46.22427256212697,153.3389131810584,1.108863085447091,776,195,True,734,153,85,85
5913,0.997565746307373,"[877.5, 151.875]",13,6.0755,46.96252979611028,160.19310841689014,1.0955930651675208,845,136,True,800,94,89,85
5891,0.9974445700645447,"[742.5, 421.875]",15,6.0755,46.84271711192988,159.5970914398613,1.094080607873545,709,398,True,669,355,84,86
5769,0.9973883628845215,"[1147.5, 253.125]",17,6.0755,46.28075282668471,156.29190638542858,1.0905723361345463,1128,215,True,1087,174,85,84
6250,0.9973798394203186,"[427.5, 455.625]",18,6.0755,48.60848454759598,169.32300483774114,1.1104482700691372,462,427,True,417,382,89,90
5171,0.9970723986625671,"[1372.5, 151.875]",19,6.0755,44.265669173698306,140.09108128255352,1.1130475459952847,1352,114,True,1313,74,78,84
4863,0.997063398361206,"[787.5, 84.375]",20,6.0755,42.69958919835634,131.74684360414963,1.101278879749789,811,56,True,771,19,79,80
5669,0.9970476627349854,"[922.5, 84.375]",21,6.0755,46.22427254250565,153.58273830802472,1.1071026738935104,900,67,True,859,24,82,88
4861,0.9969021677970886,"[1417.5, 151.875]",22,6.0755,42.53983890045897,131.69266024260153,1.0935036753549108,1397,188,True,1360,149,75,80
6020,0.9968419671058655,"[1012.5, 556.875]",23,6.0755,47.291720652225116,163.09191825971226,1.091259220569726,978,572,True,934,529,87,88
6318,0.9966734647750854,"[1147.5, 421.875]",24,6.0755,48.59194193599784,171.16523913037577,1.097749065473642,1115,449,True,1070,405,91,90
6036,0.9965291023254395,"[832.5, 455.625]",25,6.0755,47.580973953486925,163.52538515209687,1.1017209561414578,876,448,True,834,404,86,89
