index,area,x,y,w,h,predicted_iou,point_coords
0,8028,880,108,101,118,0.9887072443962097,"[[922.5, 185.625]]"
1,6886,989,113,94,95,0.9997959733009338,"[[1057.5, 118.125]]"
2,6862,21,92,93,93,1.006460189819336,"[[22.5, 151.875]]"
3,6521,1089,500,89,91,0.9982172250747681,"[[1147.5, 590.625]]"
4,6485,122,685,92,89,0.9939160943031311,"[[202.5, 759.375]]"
5,6379,454,95,87,92,0.9989951252937317,"[[517.5, 151.875]]"
6,6319,1070,405,91,90,0.9968344569206238,"[[1147.5, 421.875]]"
7,6299,970,707,90,87,0.9958646893501282,"[[1012.5, 793.125]]"
8,6291,1253,459,91,89,0.9956962466239929,"[[1327.5, 523.125]]"
9,6264,581,192,86,92,0.995558500289917,"[[652.5, 253.125]]"
10,6262,601,452,87,90,0.9945479035377502,"[[607.5, 489.375]]"
11,6255,417,382,89,90,0.9972394108772278,"[[427.5, 455.625]]"
12,6244,817,711,87,93,0.9952396154403687,"[[832.5, 793.125]]"
13,6236,580,609,85,91,0.994315505027771,"[[652.5, 624.375]]"
14,6234,673,616,89,91,0.995867908000946,"[[742.5, 691.875]]"
15,6214,729,978,87,89,0.9967631697654724,"[[742.5, 1063.125]]"
16,6208,487,924,86,89,0.9932523965835571,"[[562.5, 961.875]]"
17,6114,1141,769,88,89,0.9936218857765198,"[[1147.5, 826.875]]"
18,6090,1132,341,90,90,0.9982688426971436,"[[1192.5, 421.875]]"
19,6039,834,404,86,89,0.9964379072189331,"[[832.5, 455.625]]"
20,6037,519,264,87,87,0.992576539516449,"[[562.5, 320.625]]"
21,6035,34,660,91,86,0.9881988167762756,"[[112.5, 725.625]]"
22,6018,934,529,87,88,0.9969028830528259,"[[1012.5, 556.875]]"
23,6009,260,393,90,82,0.9949797987937927,"[[337.5, 455.625]]"
24,5953,787,889,81,90,0.9918166995048523,"[[787.5, 928.125]]"
25,5917,1002,465,87,86,0.9945122599601746,"[[1012.5, 523.125]]"
26,5913,1242,369,86,85,0.9982017278671265,"[[1327.5, 421.875]]"
27,5907,800,94,89,85,0.9975801706314087,"[[877.5, 151.875]]"
28,5888,669,355,84,87,0.9973952174186707,"[[742.5, 421.875]]"
29,5784,938,939,82,90,0.9944329857826233,"[[967.5, 1029.375]]"
30,5783,1110,967,87,85,0.9906408786773682,"[[1192.5, 1029.375]]"
31,5773,1087,174,85,84,0.9973281621932983,"[[1147.5, 253.125]]"
32,5773,46,995,86,82,0.9868882298469543,"[[112.5, 1063.125]]"
33,5755,347,447,87,85,0.9919033646583557,"[[427.5, 489.375]]"
34,5752,313,42,83,87,0.9961690306663513,"[[382.5, 50.625]]"
35,5737,700,68,88,87,0.9949910044670105,"[[742.5, 151.875]]"
36,5693,316,751,86,85,0.9923442006111145,"[[382.5, 826.875]]"
37,5685,513,435,82,86,0.9939135313034058,"[[517.5, 489.375]]"
38,5673,578,364,82,86,0.9932019114494324,"[[652.5, 421.875]]"
39,5666,859,24,82,88,0.9970554709434509,"[[922.5, 84.375]]"
40,5663,944,281,86,85,0.9943018555641174,"[[1012.5, 354.375]]"
41,5660,734,153,85,85,0.9982706904411316,"[[742.5, 219.375]]"
42,5657,731,819,88,84,0.9929818511009216,"[[787.5, 894.375]]"
43,5645,851,499,82,87,0.9951285123825073,"[[922.5, 556.875]]"
44,5627,623,696,83,86,0.9912939071655273,"[[697.5, 759.375]]"
45,5618,1184,516,85,85,0.9929296374320984,"[[1237.5, 590.625]]"
46,5577,221,181,87,83,1.000435471534729,"[[292.5, 253.125]]"
47,5567,112,129,82,85,0.9960340857505798,"[[112.5, 185.625]]"
48,5531,301,902,83,83,0.9894992709159851,"[[382.5, 928.125]]"
49,5526,210,656,82,86,0.9897832274436951,"[[292.5, 691.875]]"
50,5518,1287,748,84,85,0.9922990798950195,"[[1372.5, 793.125]]"
51,5478,69,208,84,83,0.9936965703964233,"[[112.5, 286.875]]"
52,5470,340,347,84,84,0.9944519400596619,"[[337.5, 388.125]]"
53,5462,1064,724,82,83,0.9866057634353638,"[[1102.5, 793.125]]"
54,5424,495,776,82,84,0.9921650290489197,"[[562.5, 793.125]]"
55,5394,405,770,82,85,0.9888575673103333,"[[472.5, 826.875]]"
56,5384,182,796,82,84,0.9898484945297241,"[[247.5, 860.625]]"
57,5382,1151,595,80,81,0.9902487993240356,"[[1192.5, 658.125]]"
58,5374,29,805,83,83,0.9929684996604919,"[[112.5, 860.625]]"
59,5352,1206,290,82,82,0.9946144223213196,"[[1282.5, 354.375]]"
60,5287,836,814,83,82,0.9883600473403931,"[[877.5, 894.375]]"
61,5279,718,534,80,85,0.993420422077179,"[[787.5, 556.875]]"
62,5274,1132,680,84,81,0.9986763596534729,"[[1192.5, 759.375]]"
63,5269,8,272,84,80,0.9906588196754456,"[[67.5, 286.875]]"
64,5242,1298,298,81,84,0.9954098463058472,"[[1372.5, 320.625]]"
65,5240,579,933,81,82,0.9929759502410889,"[[652.5, 961.875]]"
66,5225,184,889,82,80,0.9961231350898743,"[[247.5, 961.875]]"
67,5219,391,909,81,83,0.9879031777381897,"[[427.5, 995.625]]"
68,5216,696,902,82,79,0.9882234930992126,"[[697.5, 928.125]]"
69,5211,548,848,79,81,0.991097092628479,"[[607.5, 860.625]]"
70,5194,1240,589,78,84,0.9932836294174194,"[[1237.5, 624.375]]"
71,5179,88,378,100,69,0.9250816106796265,"[[157.5, 421.875]]"
72,5174,1313,74,78,84,0.9972022175788879,"[[1372.5, 151.875]]"
73,5166,452,700,81,81,0.9872581362724304,"[[517.5, 759.375]]"
74,5162,1338,1004,81,74,0.9942653775215149,"[[1417.5, 1029.375]]"
75,5152,1081,891,83,78,0.994902491569519,"[[1147.5, 961.875]]"
76,5148,72,17,81,82,0.9910496473312378,"[[112.5, 16.875]]"
77,5145,564,109,80,79,0.9921566247940063,"[[607.5, 118.125]]"
78,5144,265,823,80,82,0.9845969080924988,"[[337.5, 860.625]]"
79,5142,790,575,80,83,0.9913874864578247,"[[832.5, 658.125]]"
80,5060,172,459,78,82,0.9875665903091431,"[[202.5, 455.625]]"
81,5058,895,673,82,78,0.9897075891494751,"[[967.5, 725.625]]"
82,5040,422,618,78,82,0.9915905594825745,"[[472.5, 624.375]]"
83,5027,108,288,79,78,0.9901858568191528,"[[157.5, 354.375]]"
84,5013,190,349,79,80,0.9897457361221313,"[[202.5, 354.375]]"
85,4976,1348,917,81,78,0.9897814393043518,"[[1417.5, 961.875]]"
86,4969,137,1005,84,73,0.9911488890647888,"[[202.5, 1029.375]]"
87,4956,1338,610,80,77,0.9865476489067078,"[[1417.5, 658.125]]"
88,4953,253,482,81,79,0.987278938293457,"[[292.5, 556.875]]"
89,4952,214,966,81,79,0.9874692559242249,"[[247.5, 1029.375]]"
90,4920,337,610,79,79,0.988389253616333,"[[337.5, 658.125]]"
91,4919,109,853,83,74,0.991468071937561,"[[157.5, 928.125]]"
92,4915,1041,325,80,78,0.9923713207244873,"[[1057.5, 388.125]]"
93,4908,288,1001,80,77,0.996091902256012,"[[292.5, 1029.375]]"
94,4901,875,593,79,78,0.9918573498725891,"[[877.5, 624.375]]"
95,4897,638,16,76,81,0.9950460195541382,"[[697.5, 84.375]]"
96,4895,774,471,77,82,0.9919108748435974,"[[832.5, 489.375]]"
97,4893,474,548,77,81,0.9921625256538391,"[[517.5, 624.375]]"
98,4890,193,264,79,77,0.988076388835907,"[[247.5, 320.625]]"
99,4884,405,31,79,80,0.9925958514213562,"[[472.5, 84.375]]"
100,4879,1024,30,77,81,0.9902474284172058,"[[1102.5, 84.375]]"
101,4871,1360,149,75,80,0.9969292879104614,"[[1417.5, 151.875]]"
102,4855,771,19,79,80,0.9971283674240112,"[[787.5, 84.375]]"
103,4851,1258,885,80,78,0.9916025996208191,"[[1282.5, 961.875]]"
104,4840,1024,239,77,81,0.9939408898353577,"[[1057.5, 320.625]]"
105,4833,366,270,80,76,0.9903024435043335,"[[427.5, 320.625]]"
106,4827,265,309,79,76,0.9895209670066833,"[[337.5, 354.375]]"
107,4812,992,878,80,76,0.98521488904953,"[[1057.5, 928.125]]"
108,4806,1164,863,79,76,0.9882025718688965,"[[1237.5, 894.375]]"
109,4802,555,528,74,81,0.9892545342445374,"[[607.5, 590.625]]"
110,4788,758,656,79,78,0.9913603663444519,"[[787.5, 725.625]]"
111,4776,1073,620,75,80,0.990016520023346,"[[1102.5, 691.875]]"
112,4775,1156,54,78,79,0.9921936988830566,"[[1192.5, 118.125]]"
113,4762,552,29,78,76,0.989678680896759,"[[607.5, 84.375]]"
114,4748,106,935,80,74,0.9861543774604797,"[[112.5, 995.625]]"
115,4719,854,965,79,74,0.9945712685585022,"[[922.5, 1029.375]]"
116,4714,647,981,74,80,0.9918106198310852,"[[652.5, 1029.375]]"
117,4686,1103,266,77,79,0.9946587085723877,"[[1102.5, 320.625]]"
118,4678,502,176,76,80,0.9914633631706238,"[[517.5, 185.625]]"
119,4677,146,605,81,74,0.9882631301879883,"[[157.5, 658.125]]"
120,4675,426,987,78,79,0.9884097576141357,"[[472.5, 1063.125]]"
